archivo,tipo,filas,columnas,anio_min,anio_max,trimestre_min,trimestre_max
EPH_usu_1_Trim_2017_txt.zip,individual,58675,178,2017,2017,1,1
EPH_usu_1_Trim_2018_txt.zip,individual,57951,178,2018,2018,1,1
EPH_usu_1_Trim_2019_txt.zip,individual,59369,178,2019,2019,1,1
EPH_usu_1_Trim_2020_txt.zip,individual,51643,178,2020,2020,1,1
EPH_usu_1_Trim_2021_txt.zip,individual,46693,178,2021,2021,1,1
EPH_usu_1_Trim_2022_txt.zip,individual,49706,178,2022,2022,1,1
EPH_usu_1_Trim_2023_txt.zip,individual,48638,178,2023,2023,1,1
EPH_usu_1_Trim_2024_txt.zip,individual,46050,236,2024,2024,1,1
EPH_usu_1_Trim_2025_txt.zip,individual,45425,236,2025,2025,1,1
EPH_usu_2_Trim_2016_txt.zip,individual,59811,178,2016,2016,2,2
EPH_usu_2_Trim_2017_txt.zip,individual,59755,178,2017,2017,2,2
EPH_usu_2_Trim_2018_txt.zip,individual,57835,178,2018,2018,2,2
EPH_usu_2_Trim_2019_txt.zip,individual,59258,178,2019,2019,2,2
EPH_usu_2_Trim_2020_txt.zip,individual,37132,178,2020,2020,2,2
EPH_usu_2_Trim_2021_txt.zip,individual,47085,178,2021,2021,2,2
EPH_usu_2_Trim_2022_txt.zip,individual,50614,178,2022,2022,2,2
EPH_usu_2_Trim_2023_txt.zip,individual,49072,178,2023,2023,2,2
EPH_usu_2_Trim_2024_txt.zip,individual,47151,236,2024,2024,2,2
EPH_usu_2_Trim_2025_txt.zip,individual,46086,236,2025,2025,2,2
EPH_usu_3_Trim_2016_txt.zip,individual,59550,178,2016,2016,3,3
EPH_usu_3_Trim_2017_txt.zip,individual,58721,178,2017,2017,3,3
EPH_usu_3_Trim_2018_txt.zip,individual,56879,178,2018,2018,3,3
EPH_usu_3_Trim_2019_txt.zip,individual,57229,178,2019,2019,3,3
EPH_usu_3_Trim_2020_txt.zip,individual,41685,178,2020,2020,3,3
EPH_usu_3_Trim_2021_txt.zip,individual,48668,179,2021,2021,3,3
EPH_usu_3_Trim_2022_txt.zip,individual,49232,178,2022,2022,3,3
EPH_usu_3_Trim_2023_txt.zip,individual,48335,178,2023,2023,3,3
EPH_usu_3_Trim_2024_txt.zip,individual,47564,236,2024,2024,3,3
EPH_usu_3_Trim_2025_txt.zip,individual,44946,236,2025,2025,3,3
EPH_usu_4_Trim_2016_txt.zip,individual,58154,178,2016,2016,4,4
EPH_usu_4_Trim_2017_txt.zip,individual,58181,178,2017,2017,4,4
EPH_usu_4_Trim_2018_txt.zip,individual,57418,178,2018,2018,4,4
EPH_usu_4_Trim_2019_txt.zip,individual,58519,178,2019,2019,4,4
EPH_usu_4_Trim_2020_txt.zip,individual,43767,178,2020,2020,4,4
EPH_usu_4_Trim_2021_txt.zip,individual,50154,178,2021,2021,4,4
EPH_usu_4_Trim_2022_txt.zip,individual,48545,178,2022,2022,4,4
EPH_usu_4_Trim_2023_txt.zip,individual,47337,236,2023,2023,4,4
EPH_usu_4_Trim_2024_txt.zip,individual,46860,236,2024,2024,4,4
EPH_usu_4_Trim_2025_txt.zip,individual,43703,236,2025,2025,4,4
EPH_usu_1_Trim_2017_txt.zip,hogar,18477,89,2017,2017,1,1
EPH_usu_1_Trim_2018_txt.zip,hogar,18624,89,2018,2018,1,1
EPH_usu_1_Trim_2019_txt.zip,hogar,19338,89,2019,2019,1,1
EPH_usu_1_Trim_2020_txt.zip,hogar,16845,89,2020,2020,1,1
EPH_usu_1_Trim_2021_txt.zip,hogar,15423,89,2021,2021,1,1
EPH_usu_1_Trim_2022_txt.zip,hogar,16898,89,2022,2022,1,1
EPH_usu_1_Trim_2023_txt.zip,hogar,16815,89,2023,2023,1,1
EPH_usu_1_Trim_2024_txt.zip,hogar,16104,99,2024,2024,1,1
EPH_usu_1_Trim_2025_txt.zip,hogar,15984,99,2025,2025,1,1
EPH_usu_2_Trim_2016_txt.zip,hogar,18796,89,2016,2016,2,2
EPH_usu_2_Trim_2017_txt.zip,hogar,18871,89,2017,2017,2,2
EPH_usu_2_Trim_2018_txt.zip,hogar,18586,89,2018,2018,2,2
EPH_usu_2_Trim_2019_txt.zip,hogar,19251,89,2019,2019,2,2
EPH_usu_2_Trim_2020_txt.zip,hogar,11976,89,2020,2020,2,2
EPH_usu_2_Trim_2021_txt.zip,hogar,15620,89,2021,2021,2,2
EPH_usu_2_Trim_2022_txt.zip,hogar,17367,89,2022,2022,2,2
EPH_usu_2_Trim_2023_txt.zip,hogar,16990,89,2023,2023,2,2
EPH_usu_2_Trim_2024_txt.zip,hogar,16453,99,2024,2024,2,2
EPH_usu_2_Trim_2025_txt.zip,hogar,16169,99,2025,2025,2,2
EPH_usu_3_Trim_2016_txt.zip,hogar,18800,89,2016,2016,3,3
EPH_usu_3_Trim_2017_txt.zip,hogar,18806,89,2017,2017,3,3
EPH_usu_3_Trim_2018_txt.zip,hogar,18364,89,2018,2018,3,3
EPH_usu_3_Trim_2019_txt.zip,hogar,18610,89,2019,2019,3,3
EPH_usu_3_Trim_2020_txt.zip,hogar,13503,89,2020,2020,3,3
EPH_usu_3_Trim_2021_txt.zip,hogar,16285,90,2021,2021,3,3
EPH_usu_3_Trim_2022_txt.zip,hogar,16886,89,2022,2022,3,3
EPH_usu_3_Trim_2023_txt.zip,hogar,16656,89,2023,2023,3,3
EPH_usu_3_Trim_2024_txt.zip,hogar,16650,99,2024,2024,3,3
EPH_usu_3_Trim_2025_txt.zip,hogar,15860,99,2025,2025,3,3
EPH_usu_4_Trim_2016_txt.zip,hogar,18372,89,2016,2016,4,4
EPH_usu_4_Trim_2017_txt.zip,hogar,18793,89,2017,2017,4,4
EPH_usu_4_Trim_2018_txt.zip,hogar,18616,89,2018,2018,4,4
EPH_usu_4_Trim_2019_txt.zip,hogar,19035,89,2019,2019,4,4
EPH_usu_4_Trim_2020_txt.zip,hogar,14442,89,2020,2020,4,4
EPH_usu_4_Trim_2021_txt.zip,hogar,17037,89,2021,2021,4,4
EPH_usu_4_Trim_2022_txt.zip,hogar,16740,89,2022,2022,4,4
EPH_usu_4_Trim_2023_txt.zip,hogar,16462,99,2023,2023,4,4
EPH_usu_4_Trim_2024_txt.zip,hogar,16511,99,2024,2024,4,4
EPH_usu_4_Trim_2025_txt.zip,hogar,15534,99,2025,2025,4,4
