ANO4,TRIMESTRE,AGLOMERADO_NOMBRE,CH04,CH06,NIVEL_ED,PP04B_COD,PP04D_COD,P21,P21_REAL_IMPUTADO
2017,1,Neuquen-Plottier,2,49,3,8401.0,48333.0,-9.0,1360849.6384790828
2017,1,Neuquen-Plottier,1,28,5,900.0,80313.0,-9.0,1838195.151677234
2017,1,Neuquen-Plottier,1,42,2,4903.0,34323.0,-9.0,1307156.3174996711
2017,1,Neuquen-Plottier,1,56,6,4000.0,72313.0,-9.0,1523883.8977075825
2017,1,Neuquen-Plottier,1,75,4,4805.0,5002.0,-9.0,2210856.630396109
2017,1,Neuquen-Plottier,2,33,6,8600.0,40312.0,-9.0,1444347.882160786
2017,1,Neuquen-Plottier,1,41,6,8600.0,40312.0,-9.0,1941453.4921543058
2017,1,Neuquen-Plottier,1,40,2,4000.0,72313.0,-9.0,1003885.866056056
2017,1,Neuquen-Plottier,1,54,2,4000.0,72113.0,-9.0,763831.8976710577
2017,1,Neuquen-Plottier,1,63,4,9503.0,5002.0,-9.0,1301708.6323957494
2017,1,Neuquen-Plottier,2,56,4,4803.0,5002.0,-9.0,1479059.218119836
2017,1,Neuquen-Plottier,2,59,6,1009.0,53113.0,-9.0,557222.1027328996
2017,1,Neuquen-Plottier,2,34,4,4810.0,30113.0,-9.0,324689.0267989064
2017,1,Neuquen-Plottier,1,26,3,4803.0,30314.0,-9.0,846823.0186630661
2017,1,Neuquen-Plottier,1,49,7,4000.0,72113.0,-9.0,634853.8805075011
2017,1,Neuquen-Plottier,1,58,2,4904.0,34123.0,-9.0,816604.4959175042
2017,1,Neuquen-Plottier,1,21,3,4904.0,34123.0,-9.0,649429.8783517514
2017,1,Neuquen-Plottier,2,24,4,9700.0,55314.0,-9.0,344210.5394979816
2017,1,Neuquen-Plottier,1,41,1,4000.0,72113.0,-9.0,611535.8306937139
2017,1,Neuquen-Plottier,2,50,3,8509.0,56314.0,-9.0,733601.8148647854
2017,1,Neuquen-Plottier,1,61,4,900.0,34323.0,-9.0,2963986.0308128637
2017,1,Neuquen-Plottier,2,37,5,8501.0,41312.0,-9.0,909506.2837727711
2017,1,Neuquen-Plottier,1,24,5,8401.0,92332.0,-9.0,1619997.402611819
2017,1,Neuquen-Plottier,2,31,6,8600.0,40312.0,-9.0,1426172.1455862336
2017,1,Neuquen-Plottier,1,51,3,4903.0,34123.0,-9.0,829244.8341138718
2017,1,Neuquen-Plottier,1,23,5,5601.0,53203.0,-9.0,1316998.2201518982
2017,1,Neuquen-Plottier,2,59,4,8501.0,41313.0,-9.0,1077211.5865222716
2017,1,Neuquen-Plottier,1,55,4,8501.0,10333.0,-9.0,1764678.9887121478
2017,1,Neuquen-Plottier,1,25,4,900.0,90332.0,-9.0,2699609.0831659655
2017,1,Neuquen-Plottier,1,37,4,600.0,34323.0,-9.0,2652545.863089071
2017,1,Neuquen-Plottier,2,55,1,8501.0,41312.0,-9.0,790167.8273169504
2017,1,Neuquen-Plottier,2,29,4,8700.0,57314.0,-9.0,863393.4519050568
