ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO_NOMBRE,ingreso_medio_real,ingreso_mediano_real,p25_real,p75_real,p90_real,ocupados,ocupados_con_ingreso_valido,no_respuesta_ingreso,tasa_no_respuesta_ingreso
2016,2,2016-04-01,2016T2,Mar del Plata,,,,,,513,0,182,35.4775828460039
2016,3,2016-07-01,2016T3,Mar del Plata,,,,,,513,0,204,39.76608187134503
2016,4,2016-10-01,2016T4,Mar del Plata,1205053.051966803,985553.0633333335,492776.53166666673,1478329.595,2069661.4330000002,523,318,177,33.84321223709369
2017,1,2017-01-01,2017T1,Mar del Plata,1209675.5223940227,1044355.3320698711,664589.7567717362,1519062.3011925397,2088710.6641397423,497,316,154,30.985915492957744
2017,2,2017-04-01,2017T2,Mar del Plata,1155331.667788749,1044016.5001380738,535393.0769938839,1427714.8719836904,2320036.6669734973,452,272,165,36.50442477876106
2017,3,2017-07-01,2017T3,Mar del Plata,1099806.3634200145,1023245.4462866882,511622.7231433441,1364327.2617155842,2131761.3464306,507,288,195,38.46153846153847
2017,4,2017-10-01,2017T4,Mar del Plata,1245866.7987730452,1012159.6362131595,526323.010830843,1619455.4179410555,2429183.126911583,541,352,168,31.053604436229204
2018,1,2018-01-01,2018T1,Mar del Plata,1281627.8249279947,1098834.8533286925,606253.7121813475,1515634.280453369,2273451.420680053,565,352,183,32.38938053097345
2018,2,2018-04-01,2018T2,Mar del Plata,1133996.5695238481,1053076.8168648481,561640.9689945857,1544512.6647351107,2106153.6337296963,530,320,181,34.15094339622641
2018,3,2018-07-01,2018T3,Mar del Plata,1152445.2008831832,944341.3761186003,503648.7339299201,1259121.8348248005,2203463.210943401,500,366,116,23.200000000000003
2018,4,2018-10-01,2018T4,Mar del Plata,1176193.8518784908,879236.3530457607,549522.7206536005,1373806.801634001,2198090.882614402,516,387,115,22.28682170542636
2019,1,2019-01-01,2019T1,Mar del Plata,1152367.311363618,988352.8973744311,499168.12998708646,1347753.9509651335,1996672.5199483458,582,397,167,28.694158075601372
2019,2,2019-04-01,2019T2,Mar del Plata,1057356.7681074555,898590.825807119,449295.4129035595,1347886.2387106784,1797181.651614238,568,399,149,26.23239436619718
2019,3,2019-07-01,2019T3,Mar del Plata,1008338.6113552763,816968.9362664528,457502.6043092135,1225453.404399679,1838180.1065995186,530,378,133,25.09433962264151
2019,4,2019-10-01,2019T4,Mar del Plata,1048000.3347583091,902823.0533996656,505580.90990381275,1444516.885439465,2022323.639615251,483,340,131,27.12215320910973
2020,1,2020-01-01,2020T1,Mar del Plata,1029996.6506435171,895909.6691152459,497727.59395291435,1161364.3858901337,1659091.979843048,464,322,129,27.801724137931032
2020,2,2020-04-01,2020T2,Mar del Plata,1124725.6091568659,936632.9333643646,624421.9555762431,1248843.9111524862,1873265.866728729,199,115,67,33.66834170854271
2020,3,2020-07-01,2020T3,Mar del Plata,979016.886350685,759702.1020070161,467508.98585047136,1314869.0227044509,2045351.8130958125,202,119,75,37.12871287128713
2020,4,2020-10-01,2020T4,Mar del Plata,1153941.6571872744,926802.0238398146,397200.8673599205,1324002.8911997352,2118404.6259195763,319,179,121,37.93103448275862
2021,1,2021-01-01,2021T1,Mar del Plata,1014808.1217467408,707768.0307154546,471845.35381030315,1179613.3845257577,2123304.092146364,396,222,151,38.131313131313135
2021,2,2021-04-01,2021T2,Mar del Plata,1077250.7565004765,736020.8319434371,420583.33253910695,1051458.3313477673,1682333.3301564278,398,190,201,50.502512562814076
2021,3,2021-07-01,2021T3,Mar del Plata,817164.6806051144,769467.5351435341,384733.76757176704,1154201.302715301,1538935.0702870681,427,210,200,46.8384074941452
