variable,coef_log,variable_nombre,impacto_pct
cat__PP04D_COD_54113.0,-3.5446251418961863,Ocupación,-97.11205538246786
cat__PP04D_COD_33123.0,-2.204675277615055,Ocupación,-88.97136680687045
cat__PP04D_COD_30339.0,-1.9381494350694954,Ocupación,-85.60298705170126
cat__PP04D_COD_52132.0,-1.8970755138424726,Ocupación,-84.99933291951609
cat__PP04D_COD_31119.0,-1.8305264089187558,Ocupación,-83.96708531356839
cat__PP04D_COD_31139.0,1.8212989222069014,Ocupación,517.9880422713395
cat__PP04D_COD_71322.0,-1.5280187289279377,Ocupación,-78.30348915511017
cat__PP04D_COD_54314.0,-1.4409673653511739,Ocupación,-76.33013262001052
cat__PP04D_COD_57133.0,-1.4399358134190323,Ocupación,-76.30570332470403
cat__PP04D_COD_60331.0,1.435783541940214,Ocupación,320.293689628386
cat__PP04D_COD_81202.0,1.4260397860364045,Ocupación,316.21833737058864
cat__PP04D_COD_52123.0,-1.4193863943916862,Ocupación,-75.81376205131839
cat__PP04D_COD_42313.0,-1.3981892725765177,Ocupación,-75.29561116662225
cat__PP04D_COD_32113.0,-1.3578916268460137,Ocupación,-74.27975154944723
cat__PP04D_COD_62113.0,-1.3490936486520346,Ocupación,-74.05246700828417
cat__PP04D_COD_45323.0,-1.342215599394275,Ocupación,-73.87338343141838
cat__PP04D_COD_32122.0,-1.333378237199307,Ocupación,-73.64146981490852
cat__PP04D_COD_30322.0,1.325703239603977,Ocupación,276.48320032439057
cat__PP04D_COD_35113.0,-1.2931470536723684,Ocupación,-72.55941471342953
cat__PP04D_COD_31131.0,1.2370278246037931,Ocupación,244.53580234786023
cat__PP04D_COD_45201.0,1.2114963219953367,Ocupación,235.85063014605691
cat__PP04D_COD_2001.0,1.2068703323671566,Ocupación,234.3005766443272
cat__PP04D_COD_61113.0,-1.1618367371227858,Ocupación,-68.70890823579016
cat__PP04D_COD_33314.0,-1.1435884932862617,Ocupación,-68.13265898570397
cat__PP04D_COD_32313.0,-1.1184194518623325,Ocupación,-67.32040966953451
cat__PP04D_COD_10123.0,-1.0955157043994606,Ocupación,-66.56328721205595
cat__PP04D_COD_50111.0,-1.0918935205867781,Ocupación,-66.44195367872612
cat__PP04B_COD_4811.0,-1.0886470259212322,Rama de actividad,-66.33283062249191
cat__PP04D_COD_45132.0,-1.0733945051160754,Ocupación,-65.8153852796574
cat__PP04D_COD_10131.0,1.0579237326650295,Ocupación,188.03843285710107
